branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
199469565,199469565,716323695,716340212,10516060,10516060,10998671,0,925276636,10234470,0,0,0,161308336,5829539,2597385392,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
200157206,200157206,717898815,717898815,10682082,10684975,11240705,0,929212656,10346873,0,0,0,168298835,6319772,2710159421,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
206394742,206394742,743384992,743384992,10809459,10809459,11372588,0,930859459,10455492,0,0,0,176200365,6684001,2849402845,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
212005230,212012407,766871374,766878302,10809459,10809459,11372588,0,956992932,10639119,0,0,0,182659011,6805868,2968292671,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
223133280,223137338,814141549,814212724,10809459,10809459,11372588,0,977768483,10821691,0,0,0,189973917,7086816,3093401439,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
231674973,231725828,850885800,851109928,10809459,10809459,11372588,0,998115723,11018457,0,0,0,194496367,7275747,3167578991,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
237585871,237585871,874674673,874674673,10809459,10809459,11372588,0,1005998856,11252902,0,0,0,203672538,7526490,3304443443,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
240809551,240809551,887265931,887265931,10809459,10809459,11372588,0,1036089219,11434655,0,0,0,210293275,7745589,3398806266,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
245882210,245882210,909817798,909817798,10811345,10811345,11382502,0,1051357400,11607094,0,0,0,217012996,8038957,3505762127,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
252401014,252401014,937375702,937376687,10811345,10811345,11382502,0,1064490275,11655780,0,0,0,221766456,8279413,3557195847,benign,8DCA4433C10BD0EC6884864B6BDF06C40E225C9D33D6B45E70685303927225CF.apk
